"year","month","CLBJ","CPER","KONZ","MOAB","OAES","ONAQ","SRER","UKFS","WOOD","tBin"
2016,4,46.9733333333333,33.2033333333333,37.1466666666667,28.6166666666667,33.75,30.7633333333333,13.37,40.76,48.0133333333333,4
2016,5,54.5967741935484,32.1935483870968,46.3838709677419,23.6451612903226,37.7935483870968,27.9129032258065,13.4129032258065,50.8741935483871,31.9064516129032,5
2016,6,46.3233333333333,19.9866666666667,39.17,12.55,34.6433333333333,15.77,14.3033333333333,43.8866666666667,40.97,6
2016,7,40.8096774193548,19.3935483870968,46.2935483870968,15.8709677419355,32.2935483870968,12.9677419354839,22.6548387096774,54.5129032258065,44.1612903225806,7
2016,8,40.3903225806452,21.3387096774194,47.4129032258065,22.3967741935484,31.2935483870968,12.7483870967742,33.2096774193548,50.6258064516129,36.8516129032258,8
2016,9,41.7166666666667,18.6033333333333,46.03,21.7533333333333,39.63,23.6866666666667,28.2333333333333,52.7466666666667,45.1833333333333,9
2016,10,40.9935483870968,17.2032258064516,41.0193548387097,22.4064516129032,35.0774193548387,24.8612903225806,17.3677419354839,50.641935483871,46.8290322580645,10
2016,11,41.4333333333333,23.8033333333333,38.02,31.3333333333333,33.7033333333333,29.6066666666667,19.8366666666667,43.05,46.7366666666667,11
2016,12,37.7645161290323,36.4032258064516,41.9806451612903,39.1064516129032,35.9129032258065,40.1645161290323,30.2032258064516,45.5096774193548,64.0741935483871,12
2017,1,37.5709677419355,38.5161290322581,46.2645161290323,49.6677419354839,38.5193548387097,50.3064516129032,31.7096774193548,49.4322580645161,62.5451612903226,13
2017,2,32.4178571428571,27.2035714285714,35.9642857142857,35.1857142857143,28.9464285714286,40.0714285714286,23.0321428571429,36.6714285714286,55.6214285714286,14
2017,3,32.1838709677419,20.7741935483871,37.1516129032258,21.0774193548387,31.5645161290323,32.1870967741935,11.7354838709677,40.0483870967742,50.9548387096774,15
2017,4,43.41,23.7066666666667,45.1966666666667,19.9333333333333,43.7233333333333,31.94,7.86666666666667,48.9966666666667,38.9366666666667,16
2017,5,32.358064516129,29.5129032258065,42.541935483871,19.2806451612903,30.458064516129,28.8129032258065,11.058064516129,46.1354838709677,28.6903225806452,17
2017,6,43.61,20.4466666666667,41.9933333333333,9.8,33.6766666666667,16.5366666666667,8.74666666666667,47.57,31.3233333333333,18
2017,7,36.3677419354839,19.8903225806452,38.2612903225806,19.6516129032258,27.8548387096774,18.641935483871,30.6516129032258,48.2322580645161,26.7516129032258,19
2017,8,45.3096774193548,25.241935483871,43.3516129032258,18.3193548387097,44.5645161290323,19.9741935483871,26.9903225806452,48.8612903225806,37.0741935483871,20
2017,9,34.8,26.4933333333333,35.03,21.2866666666667,38.0433333333333,31.4666666666667,21.39,44.56,41.1366666666667,21
2017,10,32.0451612903226,24.2096774193548,36.6935483870968,15.7451612903226,31.3548387096774,23.6290322580645,13.0064516129032,42.741935483871,33.1741935483871,22
2017,11,35.09,29.3,40.3333333333333,20.38,36.3033333333333,27.0533333333333,14.33,46.25,56.8666666666667,23
2017,12,37.1451612903226,30.6709677419355,41.1225806451613,25.6967741935484,35.3,30.1806451612903,17.9161290322581,45.4645161290323,56.6709677419355,24
2018,1,27.241935483871,29.0354838709677,40.3838709677419,31.858064516129,24.2193548387097,38.8258064516129,13.1032258064516,43.9322580645161,52.5064516129032,25
2018,2,48.2714285714286,40.1357142857143,43.9107142857143,27.7571428571429,34.9642857142857,35.5607142857143,24.2678571428571,49.1035714285714,48.25,26
2018,3,32.9096774193548,19.3935483870968,34.7129032258064,19.2129032258064,25.2290322580645,33.0354838709677,15.1451612903226,41.7161290322581,54.3161290322581,27
2018,4,35.5833333333333,21.11,33.5166666666667,12.9,24.31,22.68,6.48333333333333,39.3033333333333,40.43,28
2018,5,36.5,30.9290322580645,37.1387096774194,12.2838709677419,26.7483870967742,26.0967741935484,8.06129032258064,41.8548387096774,31.2387096774194,29
2018,6,27.61,18.0133333333333,35.3333333333333,8.65666666666667,26.7633333333333,13.85,11.3466666666667,40.4766666666667,39.6466666666667,30
2018,7,22.8677419354839,23.5290322580645,33.9258064516129,14.9806451612903,26.4870967741935,15.3967741935484,25.2225806451613,35.7548387096774,37.6548387096774,31
2018,8,34.0741935483871,21.158064516129,42.5709677419355,15.5612903225806,32.8451612903226,15.6483870967742,32.2354838709677,45.2322580645161,32.7387096774194,32
2018,9,52.0533333333333,19.0533333333333,52.9133333333333,12.5766666666667,46.2633333333333,11.3533333333333,25.59,52.13,42.53,33
2018,10,55.6161290322581,34.5967741935484,50.4258064516129,40.2548387096774,48.9870967741935,34.6838709677419,35.8032258064516,54.2483870967742,49.4,34
2018,11,38.45,33.56,49.2233333333333,22.1333333333333,37.2733333333333,31.29,17.9033333333333,48.1033333333333,62.6133333333333,35
2018,12,45.3064516129032,31.5161290322581,50.5064516129032,42.9903225806452,43.8645161290323,51.4838709677419,28.6032258064516,52.3064516129032,59.9612903225806,36
2019,1,46.3161290322581,32.6838709677419,52.841935483871,49.0838709677419,44.7677419354839,49.3612903225806,26.8193548387097,53.7838709677419,52.5806451612903,37
2019,2,49.3178571428571,36.1642857142857,60.575,44.3285714285714,49.9535714285714,44.4071428571429,30.8714285714286,59.6321428571429,61.7464285714286,38
2019,3,39.0548387096774,41.3193548387097,45.2064516129032,36.0741935483871,35.5064516129032,40.2806451612903,19.8709677419355,46.8677419354839,51.5064516129032,39
2019,4,44.6933333333333,30.4633333333333,38.9966666666667,22.75,40.3,34.68,13.2133333333333,44.7333333333333,44.4466666666667,40
2019,5,54.4612903225806,34.5516129032258,55.0129032258065,26.6903225806452,49.8225806451613,32.9516129032258,16.4967741935484,60.658064516129,34.9645161290323,41
2019,6,47.68,24.3266666666667,46.8333333333333,16.0733333333333,39.7266666666667,22.4566666666667,10.8433333333333,52.7766666666667,38.3666666666667,42
2019,7,38.1064516129032,20.1677419354839,47.3193548387097,13.2870967741935,33.9129032258065,15.5677419354839,18.5774193548387,53.9774193548387,41.0677419354839,43
2019,8,36.1322580645161,18.758064516129,58.5354838709677,12.9967741935484,31.1806451612903,16.241935483871,25.6903225806452,65.0290322580645,43.7870967741936,44
2019,9,33.7,17.1633333333333,50.0866666666667,15.74,33.93,23.2033333333333,32.0866666666667,56.54,52.17,45
2019,10,35.6935483870968,28.3354838709677,41.7129032258064,11.7483870967742,33.7548387096774,20.5064516129032,16.8806451612903,49.2387096774194,54.2612903225806,46
2019,11,39.4333333333333,41.2066666666667,40.9566666666667,25.6466666666667,37.89,30.9366666666667,28.8933333333333,44.3166666666667,62.2633333333333,47
2019,12,34.9161290322581,41.2193548387097,49.2870967741936,44.5193548387097,35.141935483871,44.9193548387097,31.9483870967742,52.9290322580645,61.058064516129,48
